#;pH;Temprature;Taste;Odor;Fat ;Turbidity;Colour;Grade
693;6.8;45;1;1;1;1;245;high
694;6.5;35;1;0;1;0;246;medium
695;6.8;36;0;1;1;0;253;high
696;8.5;70;0;0;0;0;246;low
697;6.8;34;0;0;0;1;240;medium
698;6.5;37;0;0;0;0;245;medium
699;6.6;37;1;0;1;0;255;high
700;6.8;45;0;1;0;0;240;medium
701;7.4;65;0;0;0;0;255;low
702;6.8;41;0;0;1;0;255;medium
703;6.5;38;1;1;1;1;255;high
704;6.6;38;0;0;0;0;255;medium
705;3;40;1;0;0;0;255;low
706;9;43;1;1;1;1;248;low
707;6.5;38;1;0;1;0;255;medium
708;6.7;38;1;0;1;0;255;high
709;3;40;1;1;1;1;255;low
710;6.6;43;1;0;1;1;250;high
711;8.6;55;0;1;1;1;255;low
712;6.8;45;0;0;0;1;255;medium
713;6.8;45;0;1;1;1;255;high
714;6.5;38;1;0;0;0;255;medium
715;6.6;38;1;0;1;0;255;high
716;3;40;1;1;1;1;255;low
717;9;43;1;0;1;1;250;low
718;6.8;40;1;0;1;0;245;medium
719;6.6;45;0;0;0;1;250;medium
720;6.5;36;0;0;1;0;255;medium
721;6.8;45;0;1;1;1;255;high
722;6.5;38;1;0;0;0;255;medium
723;4.7;38;1;0;1;0;255;low
724;3;40;1;1;1;1;255;low
725;9;43;1;0;1;1;250;low
726;6.8;40;1;0;1;0;245;medium
727;6.6;45;0;1;1;1;250;high
728;6.5;36;0;0;1;0;255;medium
729;4.5;38;0;1;1;1;255;low
730;6.8;45;1;1;1;1;245;high
731;5.5;45;1;0;1;1;250;low
732;4.5;60;0;1;1;1;250;low
733;8.1;66;1;0;1;1;255;low
734;6.7;45;1;1;0;0;247;medium
735;6.7;45;1;1;1;0;245;medium
736;5.6;50;0;1;1;1;255;low
737;6.6;35;0;1;1;1;255;high
738;7.4;90;1;0;1;1;255;low
739;6.8;50;0;0;1;0;255;low
740;6.5;38;1;0;1;0;255;medium
741;6.7;41;1;0;0;0;247;medium
742;6.7;50;1;1;1;0;245;low
743;6.8;45;0;1;1;1;255;high
744;8.6;55;0;1;0;0;255;low
745;7.4;65;0;0;0;0;255;low
746;6.8;41;0;0;0;0;255;medium
747;6.5;38;1;1;1;1;255;high
748;6.8;38;0;0;0;0;255;medium
749;3;40;1;0;0;0;255;low
750;9;43;1;1;1;1;248;low
751;6.8;40;1;1;1;1;255;high
752;6.6;45;0;0;0;1;250;medium
753;6.5;36;0;0;0;0;247;medium
754;6.6;38;0;0;0;0;255;medium
755;6.8;45;1;1;1;0;245;high
756;9.5;34;1;1;0;1;255;low
757;6.5;37;0;0;0;0;255;medium
758;6.6;37;1;1;1;1;255;high
759;5.5;45;1;0;1;1;250;low
760;4.5;60;0;1;1;1;250;low
761;8.1;66;1;0;1;1;255;low
762;6.7;45;1;1;0;0;247;medium
763;6.7;45;1;1;1;0;245;medium
764;5.6;50;0;1;1;1;255;low
765;8.6;55;0;1;1;1;255;low
766;7.4;90;1;0;1;1;255;low
767;6.8;45;0;0;1;0;255;medium
768;6.5;38;1;0;1;0;255;medium
769;6.7;38;1;0;1;0;255;high
770;3;40;1;1;1;1;255;low
771;9;43;1;0;1;1;250;low
772;8.6;55;0;1;1;1;255;low
773;6.8;45;0;0;0;1;255;medium
774;6.8;45;0;1;1;1;255;high
775;6.5;38;1;0;0;0;255;medium
776;4.7;38;1;0;1;0;255;low
777;3;40;1;1;1;1;255;low
778;9;43;1;0;1;1;250;low
779;6.8;40;1;0;1;0;245;medium
780;6.5;37;0;0;0;0;255;medium
781;6.6;37;1;1;1;1;255;high
782;5.5;45;1;0;1;1;250;low
783;4.5;60;0;1;1;1;250;low
784;8.1;66;1;0;1;1;255;low
785;6.7;45;1;1;0;0;247;medium
786;6.7;45;1;1;1;0;245;medium
787;5.6;50;0;1;1;1;255;low
788;8.6;55;0;1;1;1;255;low
789;7.4;90;1;0;1;1;255;low
790;6.8;45;0;0;1;0;255;medium
791;6.5;38;1;0;1;0;255;medium
792;6.7;38;1;0;1;0;255;high
793;3;40;1;1;1;1;255;low
794;9;43;1;0;1;1;250;low
795;8.6;55;0;1;1;1;255;low
796;6.8;45;0;0;0;1;255;medium
797;6.8;45;0;1;1;1;255;high
798;6.5;38;1;0;0;0;255;medium
799;4.7;38;1;0;1;0;255;low
800;3;40;1;1;1;1;255;low
801;9;43;1;0;1;1;250;low
802;6.8;40;1;0;1;0;245;medium
803;6.6;45;0;1;1;1;250;high
804;6.5;36;0;0;1;0;255;medium
805;4.5;38;0;1;1;1;255;low
806;6.8;45;1;1;1;1;245;high
807;6.5;35;1;0;1;0;246;medium
808;6.8;36;0;1;1;0;253;high
809;8.5;70;0;0;0;0;246;low
810;6.8;34;0;0;0;1;240;medium
811;6.5;37;0;0;0;0;245;medium
812;6.6;37;1;0;1;0;255;high
813;6.8;45;0;1;0;0;240;medium
814;7.4;65;0;0;0;0;255;low
815;6.8;41;0;0;1;0;255;medium
816;6.5;38;1;1;1;1;255;high
817;6.6;38;0;0;0;0;255;medium
818;3;40;1;0;0;0;255;low
819;9;43;1;1;1;1;248;low
820;6.5;38;1;0;1;0;255;medium
821;6.7;38;1;0;1;0;255;high
822;6.6;40;0;0;0;0;255;medium
823;6.6;43;1;0;1;1;250;high
824;8.6;55;0;1;1;1;255;low
825;6.8;45;0;0;0;1;255;medium
826;6.8;45;0;1;1;1;255;high
827;6.5;38;1;0;0;0;255;medium
828;6.6;38;1;0;1;0;255;high
829;3;40;1;1;1;1;255;low
830;9;43;1;0;1;1;250;low
831;6.8;40;1;0;1;0;245;medium
832;6.6;45;0;1;1;1;250;high
833;6.5;36;0;0;1;0;255;medium
834;6.8;45;0;1;1;1;255;high
835;6.5;38;1;0;0;0;255;medium
836;4.7;38;1;0;1;0;255;low
837;3;40;1;1;1;1;255;low
838;9;43;1;0;1;1;250;low
839;6.8;40;1;0;1;0;245;medium
840;6.6;45;0;1;1;1;250;high
841;6.5;36;0;0;1;0;255;medium
842;4.5;38;0;1;1;1;255;low
843;6.8;45;1;1;1;1;245;high
844;6.5;35;1;0;1;0;246;medium
845;6.8;36;0;1;1;0;253;high
846;8.5;70;0;0;0;0;246;low
847;6.8;34;0;0;0;1;240;medium
848;6.5;37;0;1;1;1;245;low
849;6.6;37;1;0;1;0;255;high
850;6.8;45;0;1;0;0;240;medium
851;7.4;65;0;0;0;0;255;low
852;6.8;41;0;0;1;0;255;medium
853;6.5;38;1;1;1;1;255;high
854;6.6;38;0;0;0;0;255;medium
855;3;40;1;0;0;0;255;low
856;9;43;1;1;1;1;248;low
857;6.8;40;1;1;1;1;255;high
858;6.6;50;0;0;0;1;250;low
859;6.5;36;0;0;0;0;247;medium
860;6.6;50;0;0;0;0;255;low
861;6.8;45;1;1;1;0;245;high
862;6.6;40;1;0;0;0;255;medium
863;9;43;1;1;1;1;248;low
864;6.8;40;1;1;1;1;255;high
865;6.6;50;0;0;0;1;250;low
866;6.5;36;0;0;0;0;247;medium
867;6.6;38;0;0;0;0;255;medium
868;6.8;45;1;1;1;0;245;high
869;9.5;34;1;1;0;1;255;low
870;6.5;37;0;0;0;0;255;medium
871;6.6;37;1;1;1;1;255;high
872;5.5;45;1;0;1;1;250;low
873;6.5;40;1;0;0;0;250;medium
874;8.1;66;1;0;1;1;255;low
875;6.7;45;1;1;0;0;247;medium
876;6.7;38;1;0;1;0;255;high
877;3;40;1;1;1;1;255;low
878;6.8;43;1;0;1;0;250;high
879;8.6;55;0;1;1;1;255;low
880;6.8;55;0;0;0;1;255;low
881;6.8;45;0;1;1;1;255;high
882;6.5;38;1;0;0;0;255;medium
883;4.7;38;1;0;1;0;255;low
884;6.6;40;1;1;1;1;255;high
885;9;43;1;0;1;1;250;low
886;6.8;40;1;0;1;0;245;medium
887;6.6;45;0;1;1;1;250;high
888;6.5;36;0;0;1;0;255;medium
889;4.5;38;0;1;1;1;255;low
890;6.8;45;1;1;1;1;245;high
891;6.5;50;1;0;1;0;246;low
892;6.6;37;1;0;1;0;255;high
893;6.8;45;0;1;0;0;240;medium
894;7.4;65;0;0;0;0;255;low
895;6.8;41;0;0;1;0;255;medium
896;6.5;38;1;1;1;1;255;high
897;6.6;38;0;0;0;0;255;medium
898;6.7;38;1;0;1;0;255;high
899;3;40;1;1;1;1;255;low
900;6.6;43;0;0;1;0;250;medium
901;8.6;55;0;1;1;1;255;low
902;6.8;45;0;0;0;1;255;medium
903;6.8;45;0;1;1;1;255;high
904;6.5;38;1;0;0;0;255;medium
905;4.7;38;1;0;1;0;255;low
906;3;40;1;1;1;1;255;low
907;9;43;1;0;1;1;250;low
908;6.8;40;1;0;1;0;245;medium
909;6.5;37;0;0;0;0;255;medium
910;6.6;37;1;1;1;1;255;high
911;5.5;45;1;0;1;1;250;low
912;6.5;40;0;0;1;0;250;medium
913;8.1;66;1;0;1;1;255;low
914;6.7;45;1;1;0;0;247;medium
915;6.7;45;1;1;1;0;245;medium
916;5.6;50;0;1;1;1;255;low
917;8.6;55;0;1;1;1;255;low
918;6.7;41;1;0;0;0;247;medium
919;6.7;50;1;1;1;0;245;low
920;6.8;45;0;1;1;1;255;high
921;8.6;55;0;1;0;0;255;low
922;7.4;65;0;0;0;0;255;low
923;6.8;41;0;0;0;0;255;medium
924;6.5;38;1;1;1;1;255;high
925;6.8;38;0;0;0;0;255;medium
926;3;40;1;0;0;0;255;low
927;9;43;1;1;1;1;248;low
928;6.8;40;1;1;1;1;255;high
929;6.6;45;0;0;0;1;250;medium
930;6.5;36;0;0;0;0;247;medium
931;6.6;38;0;1;1;1;255;high
932;6.8;45;1;1;1;0;245;high
933;9.5;34;1;1;0;1;255;low
934;6.5;37;0;0;0;0;255;medium
935;6.6;37;1;1;1;1;255;high
936;5.5;45;1;0;1;1;250;low
937;4.5;60;0;1;1;1;250;low
938;8.1;66;1;0;1;1;255;low
939;6.7;45;1;1;0;0;247;medium
940;6.7;45;1;1;1;0;245;medium
941;5.6;50;0;1;1;1;255;low
942;8.6;55;0;1;1;1;255;low
943;6.6;45;1;0;0;1;255;medium
944;9;43;1;0;1;1;250;low
945;6.8;40;1;0;1;0;245;medium
946;6.6;45;0;1;1;1;250;high
947;6.5;36;0;0;1;0;255;medium
948;4.5;38;0;1;1;1;255;low
949;6.8;45;1;1;1;1;245;high
950;6.5;35;1;0;1;0;246;medium
951;6.8;36;0;1;1;0;253;high
952;8.5;70;0;0;0;0;246;low
953;6.8;34;0;0;0;1;240;medium
954;6.5;37;0;0;0;0;245;medium
955;6.6;37;1;0;1;0;255;high
956;6.8;45;0;1;0;0;240;medium
957;7.4;65;0;0;0;0;255;low
958;6.8;41;1;1;1;0;255;high
959;6.5;38;1;1;1;1;255;high
960;6.6;38;0;0;0;0;255;medium
961;3;40;1;0;0;0;255;low
962;9;43;1;1;1;1;248;low
963;6.5;38;1;0;1;0;255;medium
964;6.7;38;1;0;1;0;255;high
965;3;40;1;1;1;1;255;low
966;6.6;43;1;0;1;1;250;high
967;8.6;55;0;1;1;1;255;low
968;6.5;40;1;0;0;0;250;medium
969;8.1;66;1;0;1;1;255;low
970;6.7;45;1;1;0;0;247;medium
971;6.7;38;1;0;1;0;255;high
972;3;40;1;1;1;1;255;low
973;6.8;43;1;0;1;0;250;high
974;8.6;55;0;1;1;1;255;low
975;6.8;55;0;0;0;1;255;low
976;6.8;45;0;1;1;1;255;high
977;6.5;38;1;0;0;0;255;medium
978;4.7;38;1;0;1;0;255;low
979;3;40;1;1;1;1;255;low
980;9;43;1;0;1;1;250;low
981;6.8;40;1;0;1;0;245;medium
982;6.6;45;0;1;1;1;250;high
983;6.5;36;0;0;1;0;255;medium
984;4.5;38;0;1;1;1;255;low
985;6.8;45;1;1;1;1;245;high
986;6.5;45;1;0;0;0;246;medium
987;6.8;36;0;1;1;0;253;high
988;8.5;70;0;0;0;0;246;low
989;6.8;34;0;0;0;1;240;medium
990;6.5;37;0;0;0;0;245;medium
991;6.6;37;1;0;1;0;255;high
992;6.8;45;0;1;0;0;240;medium
993;7.4;65;0;0;0;0;255;low
994;6.8;41;0;0;1;0;255;medium
995;6.5;38;1;1;1;1;255;high
996;6.6;38;0;0;0;0;255;medium
997;6.7;38;1;0;1;0;255;high
998;3;40;1;1;1;1;255;low
999;6.6;43;0;0;0;1;250;medium
1000;8.6;55;0;1;1;1;255;low
1001;6.8;45;0;0;0;1;255;medium
1002;6.8;45;0;1;1;1;255;high
1003;6.5;38;1;0;0;0;255;medium
1004;4.7;38;1;0;1;0;255;low
1005;3;40;1;1;1;1;255;low
1006;9;43;1;0;1;1;250;low
1007;6.8;40;1;0;1;0;245;medium
1008;6.5;37;0;0;0;0;255;medium
1009;3;40;1;1;1;1;255;low
1010;9;43;1;0;1;1;250;low
1011;6.8;40;1;0;1;0;245;medium
1012;6.6;45;0;1;1;1;250;high
1013;6.5;36;0;0;1;0;255;medium
1014;6.8;45;0;1;1;1;255;high
1015;6.5;38;1;0;0;0;255;medium
1016;4.7;38;1;0;1;0;255;low
1017;3;40;1;1;1;1;255;low
1018;9;43;1;0;1;1;250;low
1019;6.8;40;1;0;1;0;245;medium
1020;6.6;45;0;1;1;1;250;high
1021;6.5;36;0;0;1;0;255;medium
1022;4.5;38;0;1;1;1;255;low
1023;6.8;45;1;1;1;1;245;high
1024;6.5;35;1;0;1;0;246;medium
1025;6.8;36;0;1;1;0;253;high
1026;8.5;70;0;0;0;0;246;low
1027;6.8;34;0;0;0;1;240;medium
1028;6.5;37;0;1;1;1;245;low
1029;6.6;37;1;0;1;0;255;high
1030;6.8;45;0;1;0;0;240;medium
1031;7.4;65;0;0;0;0;255;low
1032;6.8;41;0;0;1;0;255;medium
1033;6.5;38;1;1;1;1;255;high
1034;6.6;38;0;0;0;0;255;medium
1035;3;40;1;0;0;0;255;low
1036;9;43;1;1;1;1;248;low
1037;6.8;40;1;1;1;1;255;high
1038;6.6;50;0;0;0;1;250;low
1039;6.5;36;0;0;0;0;247;medium
1040;6.6;50;0;0;0;0;255;low
1041;6.8;45;1;1;1;0;245;high
1042;6.6;40;1;0;0;0;255;medium
1043;9;43;1;1;1;1;248;low
1044;6.8;40;1;1;1;1;255;high
1045;6.6;50;0;0;0;1;250;low
1046;6.5;36;0;0;0;0;247;medium
1047;6.6;38;0;0;0;0;255;medium
1048;6.8;45;1;1;1;0;245;high
1049;9.5;34;1;1;0;1;255;low
1050;6.5;37;0;0;0;0;255;medium
1051;6.6;37;1;1;1;1;255;high
1052;5.5;45;1;0;1;1;250;low
1053;6.5;40;1;0;0;0;250;medium
1054;8.1;66;1;0;1;1;255;low
1055;6.7;45;1;1;0;0;247;medium
1056;6.7;38;1;0;1;0;255;high
1057;3;40;1;1;1;1;255;low
1058;6.8;43;1;0;1;0;250;high
1059;8.6;55;0;1;1;1;255;low
